Price,Area,Location,No. of Bedrooms,Gymnasium,SwimmingPool,JoggingTrack,RainWaterHarvesting,IndoorGames
6968000,1340,Nizampet,2,1,1,1,1,1
29000000,3498,Hitech City,4,1,1,1,1,1
6590000,1318,Manikonda,2,1,0,0,0,1
5739000,1295,Alwal,3,0,0,0,0,0
5679000,1145,Kukatpally,2,0,0,0,0,0
6099000,1230,Nizampet,2,0,0,0,0,0
7000000,1350,Manikonda,2,0,0,0,0,0
4198000,1400,Gachibowli,3,1,1,0,0,0
9900000,2240,Tellapur,,,,0,0,1
9800000,1520,Gachibowli,2,0,0,0,0,0
8903000,1535,Kokapet,3,1,1,1,1,1
6300000,1150,Hyder Nagar,2,0,0,0,0,0
6300000,1285,Mehdipatnam,2,0,0,,,
9000000,1897,Tellapur,3,1,1,1,1,1
11100000,1725,Narsingi,3,1,1,1,0,1
11500000,XYZ,Khajaguda Nanakramguda Road,3,,,0,0,0
10900000,1592,Kukatpally,3,1,1,0,0,0
8625000,1150,Madhapur,2,0,0,0,0,0
9900000,2240,Tellapur,3,1,1,0,0,1
